order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,city,product_id,category,sub_category,product_name,sales,quantity,discount,profit
ORD-47099,2024-02-01,2024-02-05,Second Class,CUST-1191,Customer 904,Consumer,West,Sample State,Sample City,PROD-Tec-1861,Technology,Phones,Phones Product 56,4865.65,14,0.0,-639.06
ORD-21349,2024-12-30,2025-01-04,First Class,CUST-6457,Customer 960,Corporate,North,Sample State,Sample City,PROD-Off-3430,Office Supplies,Binders,Binders Product 88,1774.95,13,0.0,-130.81
ORD-33741,2023-05-11,2023-05-17,Same Day,CUST-2289,Customer 424,Corporate,East,Sample State,Sample City,PROD-Tec-8522,Technology,Machines,Machines Product 44,501.93,7,0.2,85.49
ORD-51185,2024-07-18,2024-07-20,Second Class,CUST-6208,Customer 688,Corporate,North,Sample State,Sample City,PROD-Off-6067,Office Supplies,Labels,Labels Product 40,2303.32,10,0.2,-381.92
ORD-96055,2024-02-05,2024-02-10,Second Class,CUST-8124,Customer 82,Consumer,South,Sample State,Sample City,PROD-Fur-1446,Furniture,Tables,Tables Product 76,1576.24,7,0.2,620.52
ORD-69174,2024-01-01,2024-01-06,First Class,CUST-3535,Customer 909,Consumer,West,Sample State,Sample City,PROD-Off-3032,Office Supplies,Art,Art Product 6,1813.4,3,0.2,-228.6
ORD-93494,2023-11-11,2023-11-13,Standard Class,CUST-2695,Customer 187,Corporate,North,Sample State,Sample City,PROD-Tec-4262,Technology,Phones,Phones Product 38,2569.36,14,0.1,-159.57
ORD-73909,2021-05-02,2021-05-04,Second Class,CUST-5482,Customer 768,Home Office,East,Sample State,Sample City,PROD-Fur-8243,Furniture,Chairs,Chairs Product 49,1101.36,13,0.0,376.57
ORD-39437,2022-04-12,2022-04-18,Second Class,CUST-4558,Customer 383,Corporate,North,Sample State,Sample City,PROD-Tec-7531,Technology,Copiers,Copiers Product 13,3981.67,14,0.5,-736.04
ORD-94899,2024-05-23,2024-05-25,Standard Class,CUST-1910,Customer 973,Consumer,South,Sample State,Sample City,PROD-Fur-4129,Furniture,Tables,Tables Product 72,3965.05,4,0.0,-240.94
ORD-86474,2021-11-27,2021-12-03,First Class,CUST-9347,Customer 473,Consumer,North,Sample State,Sample City,PROD-Off-4343,Office Supplies,Art,Art Product 2,4723.88,8,0.0,-269.79
ORD-43885,2021-03-29,2021-04-01,Standard Class,CUST-2647,Customer 567,Consumer,East,Sample State,Sample City,PROD-Off-7771,Office Supplies,Storage,Storage Product 15,2988.58,7,0.3,76.16
ORD-63664,2024-10-28,2024-10-30,Same Day,CUST-3696,Customer 694,Home Office,South,Sample State,Sample City,PROD-Fur-4072,Furniture,Furnishings,Furnishings Product 44,3870.03,5,0.0,-692.94
ORD-64200,2024-01-29,2024-02-02,Second Class,CUST-4303,Customer 42,Corporate,South,Sample State,Sample City,PROD-Tec-8850,Technology,Copiers,Copiers Product 95,1085.35,12,0.2,-144.4
ORD-55397,2023-05-22,2023-05-25,Second Class,CUST-9100,Customer 493,Home Office,West,Sample State,Sample City,PROD-Fur-5917,Furniture,Bookcases,Bookcases Product 72,2786.72,5,0.1,996.21
ORD-44642,2021-05-11,2021-05-16,First Class,CUST-9464,Customer 6,Home Office,East,Sample State,Sample City,PROD-Fur-2051,Furniture,Bookcases,Bookcases Product 66,2098.73,8,0.0,791.0
ORD-61257,2024-08-25,2024-08-31,Same Day,CUST-8737,Customer 288,Consumer,East,Sample State,Sample City,PROD-Off-4176,Office Supplies,Appliances,Appliances Product 60,2536.59,6,0.0,-78.71
ORD-14992,2023-02-09,2023-02-12,Second Class,CUST-3863,Customer 808,Consumer,South,Sample State,Sample City,PROD-Off-7603,Office Supplies,Art,Art Product 72,1397.86,14,0.0,91.81
ORD-13358,2021-12-10,2021-12-16,Standard Class,CUST-8678,Customer 802,Home Office,South,Sample State,Sample City,PROD-Off-2273,Office Supplies,Binders,Binders Product 24,318.42,9,0.0,71.99
ORD-18002,2024-12-08,2024-12-14,First Class,CUST-4354,Customer 464,Consumer,South,Sample State,Sample City,PROD-Off-1270,Office Supplies,Paper,Paper Product 35,4524.78,4,0.2,663.94
ORD-87963,2023-03-17,2023-03-22,First Class,CUST-3230,Customer 368,Consumer,West,Sample State,Sample City,PROD-Fur-4672,Furniture,Bookcases,Bookcases Product 66,2061.88,2,0.3,28.99
ORD-16589,2022-01-21,2022-01-27,Standard Class,CUST-3341,Customer 765,Home Office,South,Sample State,Sample City,PROD-Off-9185,Office Supplies,Art,Art Product 52,3022.95,4,0.2,-387.13
ORD-66683,2024-04-30,2024-05-05,First Class,CUST-9721,Customer 661,Home Office,North,Sample State,Sample City,PROD-Tec-3773,Technology,Accessories,Accessories Product 23,830.38,9,0.0,10.86
ORD-80204,2023-08-14,2023-08-20,Second Class,CUST-2716,Customer 311,Consumer,South,Sample State,Sample City,PROD-Tec-5538,Technology,Machines,Machines Product 93,2807.29,4,0.0,830.76
ORD-15898,2021-10-04,2021-10-09,Same Day,CUST-5939,Customer 935,Corporate,East,Sample State,Sample City,PROD-Fur-1890,Furniture,Bookcases,Bookcases Product 72,2978.29,1,0.1,506.8
ORD-41417,2024-03-30,2024-04-05,Same Day,CUST-7686,Customer 564,Consumer,North,Sample State,Sample City,PROD-Tec-1896,Technology,Machines,Machines Product 55,1238.76,12,0.5,-54.75
ORD-30884,2022-04-05,2022-04-07,Second Class,CUST-9869,Customer 611,Consumer,East,Sample State,Sample City,PROD-Off-7845,Office Supplies,Appliances,Appliances Product 47,2876.44,9,0.1,44.66
ORD-96444,2024-08-30,2024-09-03,Second Class,CUST-8693,Customer 239,Consumer,South,Sample State,Sample City,PROD-Fur-4580,Furniture,Bookcases,Bookcases Product 27,1053.21,1,0.2,15.8
ORD-75942,2021-01-22,2021-01-24,Second Class,CUST-7169,Customer 815,Consumer,East,Sample State,Sample City,PROD-Fur-1985,Furniture,Bookcases,Bookcases Product 20,1523.4,3,0.0,316.13
ORD-68829,2021-09-10,2021-09-16,First Class,CUST-8566,Customer 19,Home Office,East,Sample State,Sample City,PROD-Off-8658,Office Supplies,Paper,Paper Product 35,3285.48,2,0.0,1172.46
ORD-28279,2023-01-18,2023-01-24,Standard Class,CUST-2073,Customer 65,Home Office,East,Sample State,Sample City,PROD-Fur-5895,Furniture,Tables,Tables Product 36,1165.09,3,0.0,349.74
ORD-79443,2023-05-07,2023-05-11,Same Day,CUST-5827,Customer 912,Corporate,South,Sample State,Sample City,PROD-Fur-5524,Furniture,Chairs,Chairs Product 90,2693.54,5,0.0,100.08
ORD-90072,2022-04-20,2022-04-26,Second Class,CUST-4847,Customer 583,Home Office,East,Sample State,Sample City,PROD-Fur-5198,Furniture,Chairs,Chairs Product 57,487.69,8,0.1,116.5
ORD-98635,2023-12-19,2023-12-22,First Class,CUST-8549,Customer 173,Home Office,South,Sample State,Sample City,PROD-Tec-9644,Technology,Accessories,Accessories Product 94,1580.98,2,0.1,90.23
ORD-29601,2022-05-26,2022-05-29,Same Day,CUST-5552,Customer 741,Corporate,North,Sample State,Sample City,PROD-Off-3671,Office Supplies,Storage,Storage Product 63,2162.2,4,0.2,216.84
ORD-51938,2022-12-01,2022-12-07,Same Day,CUST-1725,Customer 504,Corporate,East,Sample State,Sample City,PROD-Tec-8701,Technology,Accessories,Accessories Product 65,3567.1,4,0.0,-212.82
ORD-72993,2023-09-03,2023-09-05,First Class,CUST-2814,Customer 714,Home Office,North,Sample State,Sample City,PROD-Off-1124,Office Supplies,Art,Art Product 47,4951.76,3,0.5,-422.49
ORD-99335,2021-07-09,2021-07-11,Second Class,CUST-1717,Customer 490,Consumer,West,Sample State,Sample City,PROD-Fur-7782,Furniture,Tables,Tables Product 41,2736.83,14,0.2,-333.07
ORD-60772,2023-08-16,2023-08-22,Second Class,CUST-5780,Customer 903,Home Office,East,Sample State,Sample City,PROD-Fur-4792,Furniture,Chairs,Chairs Product 64,3016.22,2,0.0,-177.97
ORD-34816,2022-11-18,2022-11-22,Second Class,CUST-2012,Customer 187,Corporate,West,Sample State,Sample City,PROD-Off-7799,Office Supplies,Storage,Storage Product 6,189.29,2,0.0,-33.38
ORD-74486,2023-08-16,2023-08-19,Second Class,CUST-5922,Customer 923,Home Office,East,Sample State,Sample City,PROD-Fur-5686,Furniture,Furnishings,Furnishings Product 72,1539.1,10,0.1,59.43
ORD-38202,2022-07-17,2022-07-19,First Class,CUST-1464,Customer 376,Consumer,East,Sample State,Sample City,PROD-Tec-9711,Technology,Copiers,Copiers Product 69,2570.78,8,0.0,119.02
ORD-76630,2024-06-21,2024-06-27,Same Day,CUST-4195,Customer 381,Consumer,West,Sample State,Sample City,PROD-Off-7940,Office Supplies,Binders,Binders Product 67,262.29,12,0.0,-8.43
ORD-32692,2023-04-12,2023-04-16,First Class,CUST-9476,Customer 660,Consumer,East,Sample State,Sample City,PROD-Tec-5933,Technology,Machines,Machines Product 63,2654.4,3,0.0,-198.67
ORD-44578,2024-02-29,2024-03-03,Standard Class,CUST-2909,Customer 221,Corporate,West,Sample State,Sample City,PROD-Off-1691,Office Supplies,Paper,Paper Product 52,3401.69,5,0.2,513.33
ORD-73928,2022-10-09,2022-10-14,Standard Class,CUST-2311,Customer 388,Corporate,North,Sample State,Sample City,PROD-Tec-2873,Technology,Machines,Machines Product 5,1157.67,3,0.1,376.32
ORD-49560,2021-01-21,2021-01-24,First Class,CUST-5675,Customer 147,Corporate,East,Sample State,Sample City,PROD-Tec-6308,Technology,Accessories,Accessories Product 31,1808.77,10,0.0,712.39
ORD-48751,2023-04-21,2023-04-27,First Class,CUST-4178,Customer 88,Consumer,North,Sample State,Sample City,PROD-Tec-6002,Technology,Copiers,Copiers Product 85,3842.35,11,0.0,217.06
ORD-10320,2021-06-16,2021-06-21,Standard Class,CUST-7761,Customer 711,Corporate,East,Sample State,Sample City,PROD-Tec-7553,Technology,Accessories,Accessories Product 75,4093.72,1,0.3,1617.75
ORD-94149,2024-07-21,2024-07-24,Standard Class,CUST-3077,Customer 596,Corporate,East,Sample State,Sample City,PROD-Off-4867,Office Supplies,Art,Art Product 25,4235.97,12,0.0,1413.74
ORD-61502,2022-01-23,2022-01-29,Second Class,CUST-2260,Customer 534,Consumer,West,Sample State,Sample City,PROD-Fur-5563,Furniture,Chairs,Chairs Product 27,4715.88,1,0.1,1170.7
ORD-31067,2022-08-24,2022-08-27,Standard Class,CUST-9713,Customer 864,Consumer,South,Sample State,Sample City,PROD-Fur-4809,Furniture,Furnishings,Furnishings Product 48,925.43,9,0.3,-0.76
ORD-93329,2021-11-12,2021-11-14,Second Class,CUST-8452,Customer 527,Consumer,South,Sample State,Sample City,PROD-Tec-3172,Technology,Machines,Machines Product 24,2137.73,12,0.2,204.28
ORD-20553,2021-01-14,2021-01-19,Second Class,CUST-7135,Customer 454,Consumer,South,Sample State,Sample City,PROD-Fur-8189,Furniture,Chairs,Chairs Product 78,458.49,2,0.0,128.43
ORD-71587,2021-08-30,2021-09-02,Second Class,CUST-9386,Customer 663,Consumer,North,Sample State,Sample City,PROD-Tec-5218,Technology,Machines,Machines Product 16,4502.32,9,0.0,1362.03
ORD-88533,2023-02-16,2023-02-21,Same Day,CUST-8148,Customer 599,Corporate,West,Sample State,Sample City,PROD-Tec-3364,Technology,Phones,Phones Product 71,1635.86,3,0.1,-311.23
ORD-92291,2024-10-01,2024-10-05,Second Class,CUST-5942,Customer 43,Consumer,North,Sample State,Sample City,PROD-Off-2268,Office Supplies,Binders,Binders Product 31,4159.28,12,0.1,-573.73
ORD-98314,2022-07-19,2022-07-24,First Class,CUST-1325,Customer 511,Consumer,West,Sample State,Sample City,PROD-Tec-8774,Technology,Phones,Phones Product 22,1279.86,6,0.0,370.09
ORD-74427,2023-06-17,2023-06-21,First Class,CUST-5078,Customer 566,Home Office,North,Sample State,Sample City,PROD-Off-3575,Office Supplies,Appliances,Appliances Product 99,1949.74,9,0.0,171.63
ORD-17493,2024-09-25,2024-10-01,Same Day,CUST-3994,Customer 673,Home Office,North,Sample State,Sample City,PROD-Off-6594,Office Supplies,Art,Art Product 76,1606.94,5,0.0,66.88
ORD-16828,2021-04-02,2021-04-06,Standard Class,CUST-7331,Customer 441,Corporate,North,Sample State,Sample City,PROD-Fur-2499,Furniture,Furnishings,Furnishings Product 52,4022.44,3,0.0,957.94
ORD-27241,2024-10-22,2024-10-26,Second Class,CUST-1298,Customer 77,Consumer,North,Sample State,Sample City,PROD-Tec-5306,Technology,Phones,Phones Product 39,4251.3,3,0.0,555.35
ORD-91418,2023-08-14,2023-08-17,First Class,CUST-4346,Customer 448,Corporate,East,Sample State,Sample City,PROD-Tec-1941,Technology,Machines,Machines Product 42,2726.28,14,0.0,-61.62
ORD-30746,2024-12-22,2024-12-28,Same Day,CUST-8833,Customer 870,Corporate,West,Sample State,Sample City,PROD-Fur-9106,Furniture,Tables,Tables Product 51,2728.41,4,0.2,51.55
ORD-46405,2022-05-24,2022-05-26,Same Day,CUST-6599,Customer 305,Home Office,South,Sample State,Sample City,PROD-Fur-9557,Furniture,Bookcases,Bookcases Product 11,3664.62,9,0.5,1099.1
ORD-14633,2023-02-15,2023-02-17,Second Class,CUST-8008,Customer 164,Corporate,East,Sample State,Sample City,PROD-Off-3381,Office Supplies,Labels,Labels Product 35,3952.17,2,0.1,1508.12
ORD-24414,2021-02-04,2021-02-06,First Class,CUST-1506,Customer 559,Consumer,North,Sample State,Sample City,PROD-Off-7719,Office Supplies,Binders,Binders Product 38,540.62,14,0.0,21.85
ORD-93384,2021-07-25,2021-07-31,Second Class,CUST-7106,Customer 820,Consumer,South,Sample State,Sample City,PROD-Tec-3560,Technology,Phones,Phones Product 53,3655.16,1,0.5,-398.93
ORD-73965,2024-01-10,2024-01-13,Standard Class,CUST-5386,Customer 520,Consumer,North,Sample State,Sample City,PROD-Off-1919,Office Supplies,Binders,Binders Product 83,3103.64,6,0.0,407.88
ORD-76972,2024-11-12,2024-11-16,First Class,CUST-8354,Customer 31,Consumer,East,Sample State,Sample City,PROD-Off-4622,Office Supplies,Binders,Binders Product 48,3395.18,14,0.0,-328.48
ORD-81947,2023-10-23,2023-10-28,Second Class,CUST-1692,Customer 255,Home Office,West,Sample State,Sample City,PROD-Off-7396,Office Supplies,Storage,Storage Product 1,2937.25,4,0.0,-32.29
ORD-87463,2023-10-19,2023-10-23,Standard Class,CUST-8933,Customer 357,Corporate,South,Sample State,Sample City,PROD-Tec-8928,Technology,Accessories,Accessories Product 42,4854.99,13,0.0,786.51
ORD-59556,2024-11-14,2024-11-19,First Class,CUST-2184,Customer 747,Corporate,North,Sample State,Sample City,PROD-Fur-9462,Furniture,Chairs,Chairs Product 2,3931.77,14,0.0,1531.47
ORD-59056,2022-07-20,2022-07-25,First Class,CUST-5675,Customer 891,Corporate,West,Sample State,Sample City,PROD-Tec-7748,Technology,Phones,Phones Product 88,282.28,3,0.0,21.34
ORD-85318,2024-02-04,2024-02-08,Same Day,CUST-6982,Customer 910,Home Office,West,Sample State,Sample City,PROD-Off-9415,Office Supplies,Storage,Storage Product 92,4677.54,10,0.2,744.37
ORD-97593,2022-12-04,2022-12-10,Same Day,CUST-2353,Customer 251,Home Office,North,Sample State,Sample City,PROD-Tec-4854,Technology,Copiers,Copiers Product 71,2862.32,13,0.2,844.13
ORD-21781,2022-02-06,2022-02-11,First Class,CUST-4365,Customer 589,Consumer,East,Sample State,Sample City,PROD-Fur-4138,Furniture,Tables,Tables Product 8,723.37,10,0.0,23.17
ORD-67174,2022-12-31,2023-01-06,First Class,CUST-4567,Customer 9,Corporate,West,Sample State,Sample City,PROD-Tec-8500,Technology,Accessories,Accessories Product 71,2377.43,3,0.0,-373.99
ORD-45081,2021-06-11,2021-06-15,Same Day,CUST-6831,Customer 952,Consumer,South,Sample State,Sample City,PROD-Tec-5056,Technology,Copiers,Copiers Product 50,4113.47,6,0.1,770.63
ORD-24506,2021-07-21,2021-07-27,First Class,CUST-6649,Customer 190,Consumer,West,Sample State,Sample City,PROD-Fur-2819,Furniture,Bookcases,Bookcases Product 18,625.19,14,0.0,9.31
ORD-65432,2023-09-23,2023-09-28,Same Day,CUST-8235,Customer 814,Consumer,East,Sample State,Sample City,PROD-Tec-6089,Technology,Machines,Machines Product 67,3355.47,3,0.0,871.02
ORD-58664,2021-09-27,2021-10-02,Second Class,CUST-9558,Customer 850,Corporate,West,Sample State,Sample City,PROD-Off-5041,Office Supplies,Paper,Paper Product 45,4816.16,7,0.0,-278.59
ORD-19190,2023-03-27,2023-04-02,Second Class,CUST-7893,Customer 14,Corporate,East,Sample State,Sample City,PROD-Off-5658,Office Supplies,Binders,Binders Product 43,2190.89,9,0.1,670.97
ORD-93232,2024-07-18,2024-07-22,Same Day,CUST-3938,Customer 692,Consumer,East,Sample State,Sample City,PROD-Tec-4197,Technology,Accessories,Accessories Product 49,93.21,3,0.0,22.23
ORD-91533,2022-04-01,2022-04-06,Second Class,CUST-7671,Customer 540,Home Office,East,Sample State,Sample City,PROD-Fur-5539,Furniture,Chairs,Chairs Product 45,708.54,3,0.0,145.57
